,my_x,my_y,enemy_x,enemy_y,circle_x,circle_y,circle_r
74,-0.069599,-0.214741,0.000278,1.299925,336,145,11
75,-0.069620,-0.214689,0.000281,1.299926,342,147,7
76,-0.069615,-0.214693,0.000282,1.299926,344,144,11
77,-0.069633,-0.214689,0.000285,1.299926,342,143,8
78,-0.069634,-0.214689,0.000288,1.299927,345,145,10
79,-0.069640,-0.214695,0.000290,1.299927,346,146,11
80,-0.069647,-0.214689,0.000293,1.299928,346,144,10
81,-0.069644,-0.214695,0.000295,1.299928,345,145,10
82,-0.069665,-0.214688,0.000297,1.299928,345,146,11
83,-0.069666,-0.214689,0.000299,1.299929,343,145,11
84,-0.069675,-0.214696,0.000302,1.299929,345,145,10
85,-0.069680,-0.214691,0.000304,1.299930,345,145,10
86,-0.069683,-0.214692,0.000307,1.299930,344,146,10
87,-0.069691,-0.214689,0.000309,1.299930,346,144,10
88,-0.069687,-0.214693,0.000312,1.299931,346,144,10
89,-0.069701,-0.214689,0.000314,1.299931,345,145,10
90,-0.069703,-0.214689,0.000316,1.299932,341,144,9
91,-0.069700,-0.214691,0.000319,1.299932,345,143,5
92,-0.069700,-0.214693,0.000321,1.299932,345,145,11
93,-0.069705,-0.214694,0.000324,1.299933,345,145,10
94,-0.069716,-0.215171,0.000325,1.299933,345,145,10
95,-0.069919,-0.219478,0.000328,1.299934,344,146,11
96,-0.070592,-0.225482,0.000330,1.299934,308,144,11
130,-0.460607,-0.648554,0.000411,1.299948,598,160,9
131,-0.461261,-0.649195,0.000413,1.299948,501,165,8
132,-0.461274,-0.649175,0.000416,1.299949,485,165,8
133,-0.461274,-0.648988,0.000419,1.299949,485,164,9
134,-0.461240,-0.648954,0.000421,1.299949,490,165,8
135,-0.461241,-0.648950,0.000424,1.299950,489,164,9
136,-0.461222,-0.648614,0.000426,1.299950,491,163,8
137,-0.461228,-0.648619,0.000428,1.299951,492,166,6
138,-0.461237,-0.648306,0.000430,1.299951,499,164,8
139,-0.461240,-0.648289,0.000433,1.299951,504,164,7
140,-0.461259,-0.648277,0.000435,1.299952,507,163,9
141,-0.461247,-0.648230,0.000437,1.299952,506,164,7
142,-0.461242,-0.648214,0.000440,1.299953,508,163,8
143,-0.461250,-0.647812,0.000443,1.299953,508,164,9
144,-0.461253,-0.647786,0.000445,1.299954,514,166,7
