,my_x,my_y,my_az,enemy_x,enemy_y,circle_x,circle_y,circle_r,u,v,theta,sin_theta
5,-1.300021,0.000082,0.017179,1.081044,-0.000911,320,178,6,0.001707,2.381065,-0.041074,-0.000717
8,-1.300022,0.000089,0.023271,0.999641,-0.001354,320,175,5,0.002377,2.299662,-0.059223,-0.001034
9,-1.300023,0.000091,0.024897,0.977839,-0.001479,321,174,7,0.002560,2.277861,-0.064388,-0.001124
10,-1.300023,0.000093,0.026505,0.956325,-0.001586,321,174,5,0.002723,2.256347,-0.069140,-0.001207
11,-1.300023,0.000096,0.029272,0.919443,-0.001834,320,174,6,0.003064,2.219465,-0.079095,-0.001380
12,-1.300024,0.000098,0.030955,0.896939,-0.001985,320,172,7,0.003270,2.196962,-0.085279,-0.001488
13,-1.300024,0.000100,0.032451,0.876893,-0.002118,320,174,8,0.003451,2.176915,-0.090828,-0.001585
14,-1.300024,0.000101,0.033817,0.858608,-0.002231,322,170,6,0.003606,2.158630,-0.095714,-0.001671
15,-1.300025,0.000104,0.036267,0.825975,-0.002462,322,170,7,0.003912,2.125998,-0.105421,-0.001840
16,-1.300025,0.000106,0.038157,0.800744,-0.002654,322,170,6,0.004159,2.100767,-0.113432,-0.001980
17,-1.300025,0.000108,0.040178,0.773692,-0.002857,322,168,7,0.004419,2.073714,-0.122099,-0.002131
18,-1.300026,0.000111,0.042442,0.743466,-0.003068,319,169,8,0.004693,2.043489,-0.131575,-0.002296
19,-1.300026,0.000113,0.044389,0.717534,-0.003290,321,169,8,0.004966,2.017557,-0.141029,-0.002461
20,-1.300026,0.000115,0.045830,0.698295,-0.003453,321,167,6,0.005166,1.998318,-0.148131,-0.002585
21,-1.300027,0.000117,0.047740,0.672751,-0.003669,322,166,8,0.005430,1.972774,-0.157697,-0.002752
22,-1.300027,0.000120,0.050174,0.640264,-0.003926,321,164,8,0.005745,1.940287,-0.169650,-0.002961
23,-1.300027,0.000122,0.051953,0.616580,-0.004150,322,163,8,0.006010,1.916602,-0.179662,-0.003136
24,-1.300028,0.000124,0.053695,0.593345,-0.004368,323,161,5,0.006266,1.893368,-0.189628,-0.003310
25,-1.300028,0.000126,0.055381,0.570806,-0.004579,322,163,8,0.006513,1.870829,-0.199475,-0.003481
26,-1.300028,0.000128,0.057648,0.540531,-0.004840,322,161,8,0.006820,1.840553,-0.212299,-0.003705
27,-1.300029,0.000130,0.059709,0.513132,-0.005124,323,159,9,0.007144,1.813155,-0.225735,-0.003940
28,-1.300029,0.000133,0.061620,0.487645,-0.005387,322,159,10,0.007443,1.787667,-0.238538,-0.004163
29,-1.300030,0.000135,0.063325,0.464852,-0.005620,322,158,8,0.007706,1.764875,-0.250157,-0.004366
30,-1.300030,0.000136,0.064825,0.444811,-0.005817,325,156,7,0.007927,1.744833,-0.260304,-0.004543
31,-1.300030,0.000138,0.066437,0.423401,-0.006039,322,157,8,0.008175,1.723423,-0.271792,-0.004744
32,-1.300030,0.000140,0.067974,0.402944,-0.006267,321,158,6,0.008427,1.702965,-0.283534,-0.004949
33,-1.300031,0.000142,0.070111,0.374435,-0.006586,321,153,8,0.008777,1.674457,-0.300324,-0.005242
34,-1.300031,0.000145,0.072830,0.338114,-0.006978,323,153,10,0.009205,1.638135,-0.321963,-0.005619
35,-1.300032,0.000147,0.074725,0.312970,-0.007270,324,150,9,0.009521,1.612991,-0.338184,-0.005902
36,-1.300032,0.000149,0.076394,0.291426,-0.007531,325,149,9,0.009802,1.591446,-0.352888,-0.006159
