,Unnamed: 0,my_x,my_y,my_qx,my_qy,my_qz,my_qw,my_ax,my_ay,my_az,enemy_x,enemy_y,enemy_qx,enemy_qy,enemy_qz,enemy_qw,enemy_ax,enemy_ay,enemy_az,circle_x,circle_y,circle_r,u,v,theta,est_enemy_theta,est_enemy_v,est_enemy_u,est_dx,est_dy,est_enemy_x,est_enemy_y,diff_enemy_u,diff_enemy_v,diff_enemy_theta,diff_enemy_x,diff_enemy_y
0,5,-0.000082,-1.300021,-0.002736,0.002724,0.707208,0.706995,-0.000854,0.442396,90.017179,0.000911,1.081044,0.002727,0.002752,-0.705362,0.708837,-0.000924,0.443956,-89.718394,320,178,6,0.001707,2.381065,-0.041074,-0.811640,2.394342,-0.033920,-0.034638,2.394332,-0.034720,1.094311,0.035627,0.013277,0.770566,0.035631,0.013267
1,8,-0.000089,-1.300022,-0.002736,0.002724,0.707245,0.706958,-0.000854,0.442396,90.023271,0.001354,0.999641,0.002718,0.002745,-0.705054,0.709143,-0.000907,0.442647,-89.668602,320,175,5,0.002377,2.299662,-0.059223,-0.811640,2.287889,-0.032412,-0.033341,2.287876,-0.033430,0.987854,0.034789,0.011773,0.752417,0.034784,0.011787
2,9,-0.000091,-1.300023,-0.002736,0.002724,0.707255,0.706948,-0.000854,0.442396,90.024897,0.001479,0.977839,0.002726,0.002753,-0.705074,0.709123,-0.000934,0.443940,-89.671888,321,174,7,0.002560,2.277861,-0.064388,-0.895544,2.253865,-0.035231,-0.036211,2.253849,-0.036302,0.953826,0.037791,0.023996,0.831156,0.037781,0.024013
3,10,-0.000093,-1.300023,-0.002736,0.002724,0.707265,0.706938,-0.000854,0.442396,90.026505,0.001586,0.956325,0.002725,0.002747,-0.704952,0.709245,-0.000460,0.443444,-89.652147,321,174,5,0.002723,2.256347,-0.069140,-0.895544,2.253865,-0.035231,-0.036274,2.253848,-0.036367,0.953825,0.037954,0.002482,0.826404,0.037953,0.002500
4,11,-0.000096,-1.300023,-0.002736,0.002724,0.707282,0.706921,-0.000854,0.442397,90.029272,0.001834,0.919443,0.002716,0.002746,-0.704759,0.709436,-0.000933,0.442584,-89.621052,320,174,6,0.003064,2.219465,-0.079095,-0.811640,2.253865,-0.031930,-0.033081,2.253848,-0.033177,0.953825,0.034994,0.034400,0.732545,0.035011,0.034382
5,12,-0.000098,-1.300024,-0.002736,0.002724,0.707293,0.706910,-0.000854,0.442397,90.030955,0.001985,0.896939,0.002717,0.002746,-0.704750,0.709445,-0.000901,0.442605,-89.619541,320,172,7,0.003270,2.196962,-0.085279,-0.811640,2.187930,-0.030996,-0.032178,2.187913,-0.032276,0.887889,0.034266,0.009032,0.726361,0.034261,0.009050
6,13,-0.000100,-1.300024,-0.002736,0.002724,0.707302,0.706901,-0.000854,0.442397,90.032451,0.002118,0.876893,0.002724,0.002753,-0.704769,0.709427,-0.000951,0.443807,-89.622590,320,174,8,0.003451,2.176915,-0.090828,-0.811640,2.253865,-0.031930,-0.033206,2.253846,-0.033306,0.953822,0.035381,0.076950,0.720812,0.035424,0.076929
7,14,-0.000101,-1.300024,-0.002736,0.002724,0.707310,0.706893,-0.000854,0.442397,90.033817,0.002231,0.858608,0.002725,0.002751,-0.704746,0.709449,-0.000572,0.443725,-89.618956,322,170,6,0.003606,2.158630,-0.095714,-0.979448,2.124734,-0.036325,-0.037579,2.124712,-0.037680,0.824688,0.039931,0.033896,0.883734,0.039911,0.033920
8,15,-0.000104,-1.300025,-0.002736,0.002724,0.707325,0.706878,-0.000854,0.442397,90.036267,0.002462,0.825975,0.002718,0.002751,-0.704465,0.709728,-0.001013,0.443207,-89.573575,322,170,7,0.003912,2.125998,-0.105421,-0.979448,2.124734,-0.036325,-0.037670,2.124711,-0.037774,0.824686,0.040237,0.001264,0.874027,0.040236,0.001289
9,16,-0.000106,-1.300025,-0.002736,0.002724,0.707337,0.706866,-0.000854,0.442397,90.038157,0.002654,0.800744,0.002714,0.002746,-0.704437,0.709756,-0.000879,0.442419,-89.568995,322,170,6,0.004159,2.100767,-0.113432,-0.979448,2.124734,-0.036325,-0.037740,2.124710,-0.037846,0.824685,0.040484,0.023967,0.866016,0.040500,0.023941
