,my_x,my_y,my_az,enemy_x,enemy_y,u,v,theta,sin_theta,est_enemy_u,est_enemy_v,est_enemy_theta,est_enemy_sin_theta,est_enemy_x,est_enemy_y,diff_enemy_x,diff_enemy_y,diff_enemy_u,diff_enemy_v,diff_enemy_theta,diff_enemy_sin_theta
0,-1.300021,0.000082,0.017179,1.081044,-0.000911,0.001707,2.381065,-0.041074,-0.000717,0.032643,2.394342,-0.781090,-0.013632,1.094331,-0.031843,0.013287,0.030932,0.030936,0.013277,0.740016,0.012915
1,-1.300022,0.000089,0.023271,0.999641,-0.001354,0.002377,2.299662,-0.059223,-0.001034,0.031192,2.287889,-0.781090,-0.013632,0.987880,-0.030174,0.011761,0.028820,0.028815,0.011773,0.721867,0.012598
2,-1.300023,0.000091,0.024897,0.977839,-0.001479,0.002560,2.277861,-0.064388,-0.001124,0.033965,2.253865,-0.863366,-0.015068,0.953856,-0.032895,0.023983,0.031416,0.031405,0.023996,0.798978,0.013944
3,-1.300023,0.000093,0.026505,0.956325,-0.001586,0.002723,2.256347,-0.069140,-0.001207,0.033965,2.253865,-0.863366,-0.015068,0.953857,-0.032829,0.002468,0.031243,0.031242,0.002482,0.794226,0.013861
4,-1.300023,0.000096,0.029272,0.919443,-0.001834,0.003064,2.219465,-0.079095,-0.001380,0.030728,2.253865,-0.781090,-0.013632,0.953857,-0.029480,0.034414,0.027646,0.027664,0.034400,0.701995,0.012252
5,-1.300024,0.000098,0.030955,0.896939,-0.001985,0.003270,2.196962,-0.085279,-0.001488,0.029829,2.187930,-0.781090,-0.013632,0.887922,-0.028549,0.009017,0.026564,0.026559,0.009032,0.695811,0.012144
6,-1.300024,0.000100,0.032451,0.876893,-0.002118,0.003451,2.176915,-0.090828,-0.001585,0.030728,2.253865,-0.781090,-0.013632,0.953858,-0.029351,0.076965,0.027233,0.027277,0.076950,0.690262,0.012047
7,-1.300024,0.000101,0.033817,0.858608,-0.002231,0.003606,2.158630,-0.095714,-0.001671,0.035071,2.124734,-0.945644,-0.016504,0.824731,-0.033716,0.033877,0.031485,0.031465,0.033896,0.849930,0.014833
8,-1.300025,0.000104,0.036267,0.825975,-0.002462,0.003912,2.125998,-0.105421,-0.001840,0.035071,2.124734,-0.945644,-0.016504,0.824731,-0.033622,0.001244,0.031160,0.031159,0.001264,0.840223,0.014664
9,-1.300025,0.000106,0.038157,0.800744,-0.002654,0.004159,2.100767,-0.113432,-0.001980,0.035071,2.124734,-0.945644,-0.016504,0.824732,-0.033550,0.023988,0.030896,0.030912,0.023967,0.832212,0.014524
