my_x,my_y,my_qx,my_qy,my_qz,my_qw,my_ax,my_ay,my_az,enemy_x,enemy_y,enemy_qx,enemy_qy,enemy_qz,enemy_qw,enemy_ax,enemy_ay,enemy_az,circle_x,circle_y,circle_r
0.000358,1.200790,0.002722,0.002745,-0.705632,0.708568,-0.000927,0.442976,-89.762179,-0.000072,-1.300020,-0.002735,0.002724,0.707152,0.707051,-0.000855,0.442395,90.008232,-1,-1,-1
0.000461,1.174727,0.002730,0.002751,-0.705645,0.708555,-0.000766,0.444131,-89.764167,-0.000074,-1.300020,-0.002735,0.002724,0.707164,0.707039,-0.000855,0.442395,90.010174,-1,-1,-1
0.000545,1.154047,0.002728,0.002752,-0.705395,0.708804,-0.000831,0.444032,-89.723764,-0.000076,-1.300020,-0.002735,0.002724,0.707174,0.707029,-0.000855,0.442396,90.011724,-1,-1,-1
0.000707,1.122106,0.002718,0.002742,-0.705345,0.708854,-0.000899,0.442447,-89.715685,-0.000079,-1.300021,-0.002735,0.002724,0.707189,0.707014,-0.000855,0.442396,90.014115,-1,-1,-1
0.000814,1.100843,0.002720,0.002744,-0.705343,0.708856,-0.000914,0.442754,-89.715298,-0.000080,-1.300021,-0.002736,0.002724,0.707198,0.707005,-0.000855,0.442396,90.015703,-1,-1,-1
0.000911,1.081044,0.002727,0.002752,-0.705362,0.708837,-0.000924,0.443956,-89.718394,-0.000082,-1.300021,-0.002736,0.002724,0.707208,0.706995,-0.000854,0.442396,90.017179,320,178,6
0.001021,1.056310,0.002724,0.002748,-0.705159,0.709038,-0.000727,0.443412,-89.685674,-0.000084,-1.300021,-0.002736,0.002724,0.707219,0.706984,-0.000854,0.442396,90.019028,-1,-1,-1
0.001171,1.030886,0.002720,0.002748,-0.705075,0.709122,-0.001010,0.443023,-89.672124,-0.000086,-1.300022,-0.002736,0.002724,0.707231,0.706972,-0.000854,0.442396,90.020935,-1,-1,-1
0.001354,0.999641,0.002718,0.002745,-0.705054,0.709143,-0.000907,0.442647,-89.668602,-0.000089,-1.300022,-0.002736,0.002724,0.707245,0.706958,-0.000854,0.442396,90.023271,320,175,5
0.001479,0.977839,0.002726,0.002753,-0.705074,0.709123,-0.000934,0.443940,-89.671888,-0.000091,-1.300023,-0.002736,0.002724,0.707255,0.706948,-0.000854,0.442396,90.024897,321,174,7
